 Hz,A
           .00000000,          1.07398568
           .40000000,          1.06907352
           .80000000,          1.05473182
          1.20000000,          1.03206035
          1.60000000,          1.00264358
          2.00000000,           .96827519
          2.40000000,           .93070946
          2.80000000,           .89148985
          3.20000000,           .85186441
          3.60000000,           .81277114
          4.00000000,           .77486692
          4.40000000,           .73857642
          4.80000000,           .70414498
          5.20000000,           .67168659
          5.60000000,           .64122338
          6.00000000,           .61271625
          6.40000000,           .58608743
          6.80000000,           .56123668
          7.20000000,           .53805248
          7.60000000,           .51641952
          8.00000000,           .49622362
          8.40000000,           .47735479
          8.80000000,           .45970894
          9.20000000,           .44318886
          9.60000000,           .42770451
         10.00000000,           .41317304
         10.40000000,           .39951850
         10.80000000,           .38667152
         11.20000000,           .37456879
         11.60000000,           .36315266
         12.00000000,           .35237063
         12.40000000,           .34217487
         12.80000000,           .33252185
         13.20000000,           .32337188
         13.60000000,           .31468879
         14.00000000,           .30643953
         14.40000000,           .29859395
         14.80000000,           .29112444
         15.20000000,           .28400573
         15.60000000,           .27721465
         16.00000000,           .27072995
         16.40000000,           .26453208
         16.80000000,           .25860306
         17.20000000,           .25292632
         17.60000000,           .24748660
         18.00000000,           .24226977
         18.40000000,           .23726279
         18.80000000,           .23245358
         19.20000000,           .22783095
         19.60000000,           .22338449
         20.00000000,           .21910456
         20.40000000,           .21498219
         20.80000000,           .21100901
         21.20000000,           .20717723
         21.60000000,           .20347959
         22.00000000,           .19990928
         22.40000000,           .19645998
         22.80000000,           .19312572
         23.20000000,           .18990096
         23.60000000,           .18678046
         24.00000000,           .18375934
         24.40000000,           .18083299
         24.80000000,           .17799708
         25.20000000,           .17524755
         25.60000000,           .17258056
         26.00000000,           .16999250
         26.40000000,           .16747996
         26.80000000,           .16503972
         27.20000000,           .16266875
         27.60000000,           .16036417
         28.00000000,           .15812327
         28.40000000,           .15594346
         28.80000000,           .15382232
         29.20000000,           .15175752
         29.60000000,           .14974688
         30.00000000,           .14778831
         30.40000000,           .14587984
         30.80000000,           .14401959
         31.20000000,           .14220576
         31.60000000,           .14043666
         32.00000000,           .13871067
         32.40000000,           .13702624
         32.80000000,           .13538190
         33.20000000,           .13377625
         33.60000000,           .13220795
         34.00000000,           .13067573
         34.40000000,           .12917835
         34.80000000,           .12771466
         35.20000000,           .12628354
         35.60000000,           .12488391
         36.00000000,           .12351477
         36.40000000,           .12217513
         36.80000000,           .12086405
         37.20000000,           .11958063
         37.60000000,           .11832402
         38.00000000,           .11709339
         38.40000000,           .11588794
         38.80000000,           .11470692
         39.20000000,           .11354959
         39.60000000,           .11241525
         40.00000000,           .11130323
         40.40000000,           .11021289
         40.80000000,           .10914358
         41.20000000,           .10809472
         41.60000000,           .10706573
         42.00000000,           .10605604
         42.40000000,           .10506514
         42.80000000,           .10409249
         43.20000000,           .10313760
         43.60000000,           .10219999
         44.00000000,           .10127920
         44.40000000,           .10037478
         44.80000000,           .09948630
         45.20000000,           .09861334
         45.60000000,           .09775551
         46.00000000,           .09691242
         46.40000000,           .09608368
         46.80000000,           .09526894
         47.20000000,           .09446785
         47.60000000,           .09368007
         48.00000000,           .09290527
         48.40000000,           .09214313
         48.80000000,           .09139335
         49.20000000,           .09065563
         49.60000000,           .08992968
         50.00000000,           .08921523
         50.40000000,           .08851200
         50.80000000,           .08781974
         51.20000000,           .08713818
         51.60000000,           .08646708
         52.00000000,           .08580621
         52.40000000,           .08515534
         52.80000000,           .08451423
         53.20000000,           .08388268
         53.60000000,           .08326046
         54.00000000,           .08264739
         54.40000000,           .08204324
         54.80000000,           .08144785
         55.20000000,           .08086100
         55.60000000,           .08028253
         56.00000000,           .07971225
         56.40000000,           .07915000
         56.80000000,           .07859560
         57.20000000,           .07804889
         57.60000000,           .07750972
         58.00000000,           .07697793
         58.40000000,           .07645336
         58.80000000,           .07593588
         59.20000000,           .07542534
         59.60000000,           .07492160
         60.00000000,           .07442453
         60.40000000,           .07393399
         60.80000000,           .07344987
         61.20000000,           .07297203
         61.60000000,           .07250035
         62.00000000,           .07203472
         62.40000000,           .07157501
         62.80000000,           .07112113
         63.20000000,           .07067295
         63.60000000,           .07023037
         64.00000000,           .06979329
         64.40000000,           .06936161
         64.80000000,           .06893522
         65.20000000,           .06851403
         65.60000000,           .06809795
         66.00000000,           .06768687
         66.40000000,           .06728073
         66.80000000,           .06687942
         67.20000000,           .06648285
         67.60000000,           .06609096
         68.00000000,           .06570365
         68.40000000,           .06532084
         68.80000000,           .06494246
         69.20000000,           .06456843
         69.60000000,           .06419868
         70.00000000,           .06383313
         70.40000000,           .06347171
