 Hz,vind,vres
           .00000000,           .00000000,           .00000000
           .40000000,           .00131224,           .00131827
           .80000000,           .00258927,           .00263654
          1.20000000,           .00380043,           .00395481
          1.60000000,           .00492280,           .00527308
          2.00000000,           .00594258,           .00659135
          2.40000000,           .00685443,           .00790962
          2.80000000,           .00765985,           .00922789
          3.20000000,           .00836501,           .01054616
          3.60000000,           .00897877,           .01186443
          4.00000000,           .00951115,           .01318271
          4.40000000,           .00997227,           .01450098
          4.80000000,           .01037169,           .01581925
          5.20000000,           .01071806,           .01713752
          5.60000000,           .01101903,           .01845579
          6.00000000,           .01128124,           .01977406
          6.40000000,           .01151035,           .02109233
          6.80000000,           .01171119,           .02241060
          7.20000000,           .01188785,           .02372887
          7.60000000,           .01204377,           .02504714
          8.00000000,           .01218186,           .02636541
          8.40000000,           .01230458,           .02768368
          8.80000000,           .01241400,           .02900195
          9.20000000,           .01251188,           .03032022
          9.60000000,           .01259973,           .03163849
         10.00000000,           .01267880,           .03295676
         10.40000000,           .01275018,           .03427503
         10.80000000,           .01281480,           .03559330
         11.20000000,           .01287347,           .03691157
         11.60000000,           .01292687,           .03822985
         12.00000000,           .01297559,           .03954812
         12.40000000,           .01302015,           .04086639
         12.80000000,           .01306099,           .04218466
         13.20000000,           .01309852,           .04350293
         13.60000000,           .01313307,           .04482120
         14.00000000,           .01316494,           .04613947
         14.40000000,           .01319440,           .04745774
         14.80000000,           .01322167,           .04877601
         15.20000000,           .01324698,           .05009428
         15.60000000,           .01327049,           .05141255
         16.00000000,           .01329237,           .05273082
         16.40000000,           .01331276,           .05404909
         16.80000000,           .01333181,           .05536736
         17.20000000,           .01334961,           .05668563
         17.60000000,           .01336628,           .05800390
         18.00000000,           .01338190,           .05932217
         18.40000000,           .01339657,           .06064044
         18.80000000,           .01341035,           .06195871
         19.20000000,           .01342332,           .06327699
         19.60000000,           .01343554,           .06459526
         20.00000000,           .01344706,           .06591353
         20.40000000,           .01345794,           .06723180
         20.80000000,           .01346823,           .06855007
         21.20000000,           .01347795,           .06986834
         21.60000000,           .01348716,           .07118661
         22.00000000,           .01349590,           .07250488
         22.40000000,           .01350418,           .07382315
         22.80000000,           .01351204,           .07514142
         23.20000000,           .01351952,           .07645969
         23.60000000,           .01352663,           .07777796
         24.00000000,           .01353339,           .07909623
         24.40000000,           .01353984,           .08041450
         24.80000000,           .01354599,           .08173277
         25.20000000,           .01355185,           .08305104
         25.60000000,           .01355745,           .08436931
         26.00000000,           .01356279,           .08568758
         26.40000000,           .01356791,           .08700585
         26.80000000,           .01357280,           .08832413
         27.20000000,           .01357748,           .08964240
         27.60000000,           .01358196,           .09096067
         28.00000000,           .01358626,           .09227894
         28.40000000,           .01359038,           .09359721
         28.80000000,           .01359433,           .09491548
         29.20000000,           .01359813,           .09623375
         29.60000000,           .01360177,           .09755202
         30.00000000,           .01360528,           .09887029
         30.40000000,           .01360865,           .10018856
         30.80000000,           .01361189,           .10150683
         31.20000000,           .01361501,           .10282510
         31.60000000,           .01361801,           .10414337
         32.00000000,           .01362090,           .10546164
         32.40000000,           .01362369,           .10677991
         32.80000000,           .01362638,           .10809818
         33.20000000,           .01362897,           .10941645
         33.60000000,           .01363148,           .11073472
         34.00000000,           .01363389,           .11205299
         34.40000000,           .01363623,           .11337127
         34.80000000,           .01363848,           .11468954
         35.20000000,           .01364066,           .11600781
         35.60000000,           .01364277,           .11732608
         36.00000000,           .01364481,           .11864435
         36.40000000,           .01364678,           .11996262
         36.80000000,           .01364869,           .12128089
         37.20000000,           .01365054,           .12259916
         37.60000000,           .01365233,           .12391743
         38.00000000,           .01365407,           .12523570
         38.40000000,           .01365575,           .12655397
         38.80000000,           .01365738,           .12787224
         39.20000000,           .01365896,           .12919051
         39.60000000,           .01366050,           .13050878
         40.00000000,           .01366199,           .13182705
         40.40000000,           .01366343,           .13314532
         40.80000000,           .01366484,           .13446359
         41.20000000,           .01366620,           .13578186
         41.60000000,           .01366752,           .13710013
         42.00000000,           .01366881,           .13841841
         42.40000000,           .01367006,           .13973668
         42.80000000,           .01367128,           .14105495
         43.20000000,           .01367246,           .14237322
         43.60000000,           .01367362,           .14369149
         44.00000000,           .01367474,           .14500976
         44.40000000,           .01367583,           .14632803
         44.80000000,           .01367689,           .14764630
         45.20000000,           .01367792,           .14896457
         45.60000000,           .01367893,           .15028284
         46.00000000,           .01367991,           .15160111
         46.40000000,           .01368087,           .15291938
         46.80000000,           .01368180,           .15423765
         47.20000000,           .01368271,           .15555592
         47.60000000,           .01368360,           .15687419
         48.00000000,           .01368446,           .15819246
         48.40000000,           .01368530,           .15951073
         48.80000000,           .01368612,           .16082900
         49.20000000,           .01368693,           .16214727
         49.60000000,           .01368771,           .16346555
         50.00000000,           .01368848,           .16478382
         50.40000000,           .01368922,           .16610209
         50.80000000,           .01368995,           .16742036
         51.20000000,           .01369066,           .16873863
         51.60000000,           .01369136,           .17005690
         52.00000000,           .01369204,           .17137517
         52.40000000,           .01369270,           .17269344
         52.80000000,           .01369335,           .17401171
         53.20000000,           .01369399,           .17532998
         53.60000000,           .01369461,           .17664825
         54.00000000,           .01369522,           .17796652
         54.40000000,           .01369581,           .17928479
         54.80000000,           .01369639,           .18060306
         55.20000000,           .01369696,           .18192133
         55.60000000,           .01369752,           .18323960
         56.00000000,           .01369806,           .18455787
         56.40000000,           .01369860,           .18587614
         56.80000000,           .01369912,           .18719441
         57.20000000,           .01369963,           .18851269
         57.60000000,           .01370013,           .18983096
         58.00000000,           .01370062,           .19114923
         58.40000000,           .01370110,           .19246750
         58.80000000,           .01370157,           .19378577
         59.20000000,           .01370203,           .19510404
         59.60000000,           .01370249,           .19642231
         60.00000000,           .01370293,           .19774058
         60.40000000,           .01370336,           .19905885
         60.80000000,           .01370379,           .20037712
         61.20000000,           .01370421,           .20169539
         61.60000000,           .01370462,           .20301366
         62.00000000,           .01370502,           .20433193
         62.40000000,           .01370541,           .20565020
         62.80000000,           .01370580,           .20696847
         63.20000000,           .01370618,           .20828674
         63.60000000,           .01370655,           .20960501
         64.00000000,           .01370691,           .21092328
         64.40000000,           .01370727,           .21224155
         64.80000000,           .01370763,           .21355983
         65.20000000,           .01370797,           .21487810
         65.60000000,           .01370831,           .21619637
         66.00000000,           .01370864,           .21751464
         66.40000000,           .01370897,           .21883291
         66.80000000,           .01370929,           .22015118
         67.20000000,           .01370961,           .22146945
         67.60000000,           .01370992,           .22278772
         68.00000000,           .01371022,           .22410599
         68.40000000,           .01371052,           .22542426
         68.80000000,           .01371081,           .22674253
         69.20000000,           .01371110,           .22806080
         69.60000000,           .01371139,           .22937907
         70.00000000,           .01371167,           .23069734
         70.40000000,           .01371194,           .23201561
         70.80000000,           .01371221,           .23333388
         71.20000000,           .01371248,           .23465215
         71.60000000,           .01371274,           .23597042
         72.00000000,           .01371299,           .23728869
         72.40000000,           .01371325,           .23860697
         72.80000000,           .01371349,           .23992524
         73.20000000,           .01371374,           .24124351
         73.60000000,           .01371398,           .24256178
         74.00000000,           .01371421,           .24388005
         74.40000000,           .01371445,           .24519832
         74.80000000,           .01371468,           .24651659
         75.20000000,           .01371490,           .24783486
         75.60000000,           .01371512,           .24915313
         76.00000000,           .01371534,           .25047140
         76.40000000,           .01371556,           .25178967
         76.80000000,           .01371577,           .25310794
         77.20000000,           .01371598,           .25442621
         77.60000000,           .01371618,           .25574448
         78.00000000,           .01371638,           .25706275
         78.40000000,           .01371658,           .25838102
         78.80000000,           .01371678,           .25969929
         79.20000000,           .01371697,           .26101756
         79.60000000,           .01371716,           .26233583
         80.00000000,           .01371735,           .26365411
         80.40000000,           .01371753,           .26497238
         80.80000000,           .01371771,           .26629065
         81.20000000,           .01371789,           .26760892
         81.60000000,           .01371807,           .26892719
         82.00000000,           .01371824,           .27024546
         82.40000000,           .01371841,           .27156373
         82.80000000,           .01371858,           .27288200
         83.20000000,           .01371875,           .27420027
         83.60000000,           .01371891,           .27551854
         84.00000000,           .01371907,           .27683681
         84.40000000,           .01371923,           .27815508
         84.80000000,           .01371939,           .27947335
         85.20000000,           .01371954,           .28079162
         85.60000000,           .01371970,           .28210989
         86.00000000,           .01371985,           .28342816
         86.40000000,           .01372000,           .28474643
         86.80000000,           .01372014,           .28606470
         87.20000000,           .01372029,           .28738297
         87.60000000,           .01372043,           .28870125
         88.00000000,           .01372057,           .29001952
         88.40000000,           .01372071,           .29133779
         88.80000000,           .01372084,           .29265606
         89.20000000,           .01372098,           .29397433
         89.60000000,           .01372111,           .29529260
         90.00000000,           .01372124,           .29661087
         90.40000000,           .01372137,           .29792914
         90.80000000,           .01372150,           .29924741
         91.20000000,           .01372163,           .30056568
         91.60000000,           .01372175,           .30188395
         92.00000000,           .01372188,           .30320222
         92.40000000,           .01372200,           .30452049
         92.80000000,           .01372212,           .30583876
         93.20000000,           .01372224,           .30715703
         93.60000000,           .01372235,           .30847530
