 Hz,A/m,Oe
           .00000000,       3072.46899788,         38.60978520
           .40000000,       3058.41623563,         38.43319298
           .80000000,       3017.38736812,         37.91760901
          1.20000000,       2952.52858006,         37.10256942
          1.60000000,       2868.37281009,         36.04503679
          2.00000000,       2770.05135728,         34.80949295
          2.40000000,       2662.58294499,         33.45900501
          2.80000000,       2550.38309514,         32.04906007
          3.20000000,       2437.02224179,         30.62452554
          3.60000000,       2325.18382877,         29.21912255
          4.00000000,       2216.74704446,         27.85646569
          4.40000000,       2112.92681549,         26.55182218
          4.80000000,       2014.42501870,         25.31401206
          5.20000000,       1921.56772753,         24.14713290
          5.60000000,       1834.41828432,         23.05198066
          6.00000000,       1752.86478357,         22.02714912
          6.40000000,       1676.68478286,         21.06984297
          6.80000000,       1605.59151720,         20.17645862
          7.20000000,       1539.26591487,         19.34298650
          7.60000000,       1477.37812464,         18.56528157
          8.00000000,       1419.60151093,         17.83923921
          8.40000000,       1365.62135968,         17.16090460
          8.80000000,       1315.13994308,         16.52653639
          9.20000000,       1267.87912588,         15.93263943
          9.60000000,       1223.58134799,         15.37597712
         10.00000000,       1182.00956343,         14.85357066
         10.40000000,       1142.94653444,         14.36269014
         10.80000000,       1106.19375046,         13.90084103
         11.20000000,       1071.57015241,         13.46574805
         11.60000000,       1038.91078035,         13.05533826
         12.00000000,       1008.06542031,         12.66772403
         12.40000000,        978.89729647,         12.30118656
         12.80000000,        951.28183623,         11.95416045
         13.20000000,        925.10552179,         11.62521917
         13.60000000,        900.26483417,         11.31306187
         14.00000000,        876.66528960,         11.01650124
         14.40000000,        854.22056536,         10.73445251
         14.80000000,        832.85170967,         10.46592354
         15.20000000,        812.48642997,         10.21000588
         15.60000000,        793.05845260,          9.96586671
         16.00000000,        774.50694792,          9.73274162
         16.40000000,        756.77601415,          9.50992813
         16.80000000,        739.81421437,          9.29677986
         17.20000000,        723.57416099,          9.09270133
         17.60000000,        708.01214293,          8.89714324
         18.00000000,        693.08779075,          8.70959829
         18.40000000,        678.76377582,          8.52959740
         18.80000000,        665.00553984,          8.35670631
         19.20000000,        651.78105137,          8.19052248
         19.60000000,        639.06058652,          8.03067240
         20.00000000,        626.81653125,          7.87680906
         20.40000000,        615.02320285,          7.72860972
         20.80000000,        603.65668861,          7.58577388
         21.20000000,        592.69469997,          7.44802147
         21.60000000,        582.11644029,          7.31509113
         22.00000000,        571.90248507,          7.18673878
         22.40000000,        562.03467317,          7.06273620
         22.80000000,        552.49600794,          6.94286979
         23.20000000,        543.27056728,          6.82693948
         23.60000000,        534.34342175,          6.71475766
         24.00000000,        525.70055981,          6.60614825
         24.40000000,        517.32881967,          6.50094586
         24.80000000,        509.21582694,          6.39899498
         25.20000000,        501.34993756,          6.30014930
         25.60000000,        493.72018564,          6.20427101
         26.00000000,        486.31623552,          6.11123022
         26.40000000,        479.12833781,          6.02090443
         26.80000000,        472.14728902,          5.93317798
         27.20000000,        465.36439441,          5.84794161
         27.60000000,        458.77143375,          5.76509202
         28.00000000,        452.36062987,          5.68453148
         28.40000000,        446.12461951,          5.60616746
         28.80000000,        440.05642655,          5.52991230
         29.20000000,        434.14943713,          5.45568288
         29.60000000,        428.39737677,          5.38340036
         30.00000000,        422.79428905,          5.31298988
         30.40000000,        417.33451599,          5.24438034
         30.80000000,        412.01267972,          5.17750418
         31.20000000,        406.82366559,          5.11229710
         31.60000000,        401.76260640,          5.04869795
         32.00000000,        396.82486772,          4.98664850
         32.40000000,        392.00603433,          4.92609325
         32.80000000,        387.30189749,          4.86697932
         33.20000000,        382.70844310,          4.80925627
         33.60000000,        378.22184071,          4.75287596
         34.00000000,        373.83843323,          4.69779243
         34.40000000,        369.55472725,          4.64396179
         34.80000000,        365.36738412,          4.59134209
         35.20000000,        361.27321152,          4.53989320
         35.60000000,        357.26915556,          4.48957674
         36.00000000,        353.35229347,          4.44035600
         36.40000000,        349.51982664,          4.39219580
         36.80000000,        345.76907416,          4.34506245
         37.20000000,        342.09746674,          4.29892367
         37.60000000,        338.50254099,          4.25374850
         38.00000000,        334.98193407,          4.20950725
         38.40000000,        331.53337864,          4.16617142
         38.80000000,        328.15469809,          4.12371367
         39.20000000,        324.84380212,          4.08210772
         39.60000000,        321.59868248,          4.04132835
         40.00000000,        318.41740905,          4.00135128
         40.40000000,        315.29812606,          3.96215322
         40.80000000,        312.23904860,          3.92371171
         41.20000000,        309.23845926,          3.88600520
         41.60000000,        306.29470499,          3.84901289
         42.00000000,        303.40619417,          3.81271479
         42.40000000,        300.57139372,          3.77709163
         42.80000000,        297.78882651,          3.74212486
         43.20000000,        295.05706884,          3.70779658
         43.60000000,        292.37474800,          3.67408954
         44.00000000,        289.74054011,          3.64098711
         44.40000000,        287.15316789,          3.60847323
         44.80000000,        284.61139869,          3.57653242
         45.20000000,        282.11404254,          3.54514971
         45.60000000,        279.65995035,          3.51431068
         46.00000000,        277.24801215,          3.48400137
         46.40000000,        274.87715549,          3.45420831
         46.80000000,        272.54634380,          3.42491846
         47.20000000,        270.25457500,          3.39611924
         47.60000000,        268.00088000,          3.36779848
         48.00000000,        265.78432142,          3.33994438
         48.40000000,        263.60399227,          3.31254555
         48.80000000,        261.45901475,          3.28559097
         49.20000000,        259.34853909,          3.25906995
         49.60000000,        257.27174244,          3.23297215
         50.00000000,        255.22782781,          3.20728756
         50.40000000,        253.21602309,          3.18200648
         50.80000000,        251.23558005,          3.15711950
         51.20000000,        249.28577347,          3.13261751
         51.60000000,        247.36590022,          3.10849167
         52.00000000,        245.47527848,          3.08473341
         52.40000000,        243.61324690,          3.06133443
         52.80000000,        241.77916386,          3.03828666
         53.20000000,        239.97240673,          3.01558228
         53.60000000,        238.19237119,          2.99321370
         54.00000000,        236.43847054,          2.97117353
         54.40000000,        234.71013510,          2.94945463
         54.80000000,        233.00681157,          2.92805003
         55.20000000,        231.32796244,          2.90695299
         55.60000000,        229.67306547,          2.88615694
         56.00000000,        228.04161313,          2.86565551
         56.40000000,        226.43311208,          2.84544248
         56.80000000,        224.84708269,          2.82551185
         57.20000000,        223.28305856,          2.80585774
         57.60000000,        221.74058608,          2.78647446
         58.00000000,        220.21922400,          2.76735646
         58.40000000,        218.71854298,          2.74849835
         58.80000000,        217.23812524,          2.72989487
         59.20000000,        215.77756413,          2.71154092
         59.60000000,        214.33646378,          2.69343151
         60.00000000,        212.91443877,          2.67556182
         60.40000000,        211.51111374,          2.65792712
         60.80000000,        210.12612311,          2.64052281
         61.20000000,        208.75911074,          2.62334443
