 Hz,A
           .00000000,         12.00000000
          1.00000000,         11.98718936
          2.00000000,         11.94900222
          3.00000000,         11.88616004
          4.00000000,         11.79982368
          5.00000000,         11.69153540
          6.00000000,         11.56314566
          7.00000000,         11.41673114
          8.00000000,         11.25451067
          9.00000000,         11.07876471
         10.00000000,         10.89176320
         11.00000000,         10.69570468
         12.00000000,         10.49266830
         13.00000000,         10.28457895
         14.00000000,         10.07318466
         15.00000000,          9.86004481
         16.00000000,          9.64652733
         17.00000000,          9.43381274
         18.00000000,          9.22290350
         19.00000000,          9.01463663
         20.00000000,          8.80969851
         21.00000000,          8.60864054
         22.00000000,          8.41189495
         23.00000000,          8.21979010
         24.00000000,          8.03256484
         25.00000000,          7.85038179
         26.00000000,          7.67333925
         27.00000000,          7.50148188
         28.00000000,          7.33481008
         29.00000000,          7.17328811
         30.00000000,          7.01685115
         31.00000000,          6.86541130
         32.00000000,          6.71886268
         33.00000000,          6.57708577
         34.00000000,          6.43995095
         35.00000000,          6.30732155
         36.00000000,          6.17905628
         37.00000000,          6.05501132
         38.00000000,          5.93504189
         39.00000000,          5.81900365
         40.00000000,          5.70675372
         41.00000000,          5.59815153
         42.00000000,          5.49305945
         43.00000000,          5.39134332
         44.00000000,          5.29287276
         45.00000000,          5.19752146
         46.00000000,          5.10516733
         47.00000000,          5.01569263
         48.00000000,          4.92898396
         49.00000000,          4.84493230
         50.00000000,          4.76343295
         51.00000000,          4.68438545
         52.00000000,          4.60769352
         53.00000000,          4.53326491
         54.00000000,          4.46101134
         55.00000000,          4.39084829
         56.00000000,          4.32269495
         57.00000000,          4.25647401
         58.00000000,          4.19211158
         59.00000000,          4.12953702
         60.00000000,          4.06868280
         61.00000000,          4.00948437
         62.00000000,          3.95188004
         63.00000000,          3.89581085
         64.00000000,          3.84122042
         65.00000000,          3.78805487
         66.00000000,          3.73626266
         67.00000000,          3.68579452
         68.00000000,          3.63660331
         69.00000000,          3.58864395
         70.00000000,          3.54187329
         71.00000000,          3.49625004
         72.00000000,          3.45173468
