 Hz,vind,vres
           .00000000,           .00000000,           .00000000
           .20000000,           .02755406,           .02755524
           .40000000,           .05510105,           .05511048
           .60000000,           .08263392,           .08266572
           .80000000,           .11014561,           .11022096
          1.00000000,           .13762911,           .13777620
          1.20000000,           .16507746,           .16533144
          1.40000000,           .19248370,           .19288668
          1.60000000,           .21984096,           .22044192
          1.80000000,           .24714243,           .24799716
          2.00000000,           .27438135,           .27555240
          2.20000000,           .30155105,           .30310763
          2.40000000,           .32864496,           .33066287
          2.60000000,           .35565657,           .35821811
          2.80000000,           .38257951,           .38577335
          3.00000000,           .40940748,           .41332859
          3.20000000,           .43613434,           .44088383
          3.40000000,           .46275403,           .46843907
          3.60000000,           .48926063,           .49599431
          3.80000000,           .51564838,           .52354955
          4.00000000,           .54191161,           .55110479
          4.20000000,           .56804484,           .57866003
          4.40000000,           .59404272,           .60621527
          4.60000000,           .61990004,           .63377051
          4.80000000,           .64561178,           .66132575
          5.00000000,           .67117304,           .68888099
          5.20000000,           .69657911,           .71643623
          5.40000000,           .72182545,           .74399147
          5.60000000,           .74690768,           .77154671
          5.80000000,           .77182158,           .79910195
          6.00000000,           .79656312,           .82665719
          6.20000000,           .82112844,           .85421243
          6.40000000,           .84551385,           .88176767
          6.60000000,           .86971584,           .90932290
          6.80000000,           .89373107,           .93687814
          7.00000000,           .91755639,           .96443338
          7.20000000,           .94118880,           .99198862
          7.40000000,           .96462550,          1.01954386
          7.60000000,           .98786384,          1.04709910
          7.80000000,          1.01090137,          1.07465434
          8.00000000,          1.03373579,          1.10220958
          8.20000000,          1.05636497,          1.12976482
          8.40000000,          1.07878695,          1.15732006
          8.60000000,          1.10099994,          1.18487530
          8.80000000,          1.12300230,          1.21243054
          9.00000000,          1.14479256,          1.23998578
          9.20000000,          1.16636939,          1.26754102
          9.40000000,          1.18773164,          1.29509626
          9.60000000,          1.20887829,          1.32265150
          9.80000000,          1.22980846,          1.35020674
         10.00000000,          1.25052143,          1.37776198
         10.20000000,          1.27101662,          1.40531722
         10.40000000,          1.29129356,          1.43287246
         10.60000000,          1.31135195,          1.46042770
         10.80000000,          1.33119158,          1.48798293
         11.00000000,          1.35081240,          1.51553817
         11.20000000,          1.37021444,          1.54309341
         11.40000000,          1.38939788,          1.57064865
         11.60000000,          1.40836301,          1.59820389
         11.80000000,          1.42711019,          1.62575913
         12.00000000,          1.44563994,          1.65331437
         12.20000000,          1.46395284,          1.68086961
         12.40000000,          1.48204957,          1.70842485
         12.60000000,          1.49993093,          1.73598009
         12.80000000,          1.51759776,          1.76353533
