 Hertz,Farad,V across C
          1.00000000,          1.37664637,          1.38732742
          1.99980000,           .34423044,          2.77437738
          2.99960000,           .15300151,          4.16142733
          3.99940000,           .08606622,          5.54847728
          4.99920000,           .05508348,          6.93552724
          5.99900000,           .03825293,          8.32257719
          6.99880000,           .02810446,          9.70962715
          7.99860000,           .02151763,         11.09667710
          8.99840000,           .01700168,         12.48372706
          9.99820000,           .01377142,         13.87077701
         10.99800000,           .01138138,         15.25782697
         11.99780000,           .00956355,         16.64487692
         12.99760000,           .00814885,         18.03192688
         13.99740000,           .00702632,         19.41897683
         14.99720000,           .00612071,         20.80602679
         15.99700000,           .00537954,         22.19307674
         16.99680000,           .00476528,         23.58012670
         17.99660000,           .00425051,         24.96717665
         18.99640000,           .00381487,         26.35422661
         19.99620000,           .00344292,         27.74127656
         20.99600000,           .00312284,         29.12832652
         21.99580000,           .00284540,         30.51537647
         22.99560000,           .00260335,         31.90242643
         23.99540000,           .00239093,         33.28947638
         24.99520000,           .00220348,         34.67652634
         25.99500000,           .00203724,         36.06357629
         26.99480000,           .00188913,         37.45062625
         27.99460000,           .00175660,         38.83767620
         28.99440000,           .00163755,         40.22472616
         29.99420000,           .00153020,         41.61177611
         30.99400000,           .00143307,         42.99882607
         31.99380000,           .00134490,         44.38587602
         32.99360000,           .00126463,         45.77292598
         33.99340000,           .00119133,         47.15997593
         34.99320000,           .00112423,         48.54702588
         35.99300000,           .00106264,         49.93407584
         36.99280000,           .00100598,         51.32112579
         37.99260000,           .00095373,         52.70817575
         38.99240000,           .00090545,         54.09522570
         39.99220000,           .00086074,         55.48227566
         40.99200000,           .00081926,         56.86932561
         41.99180000,           .00078072,         58.25637557
         42.99160000,           .00074483,         59.64342552
         43.99140000,           .00071136,         61.03047548
         44.99120000,           .00068009,         62.41752543
         45.99100000,           .00065084,         63.80457539
         46.99080000,           .00062344,         65.19162534
         47.99060000,           .00059774,         66.57867530
         48.99040000,           .00057359,         67.96572525
         49.99020000,           .00055087,         69.35277521
         50.99000000,           .00052948,         70.73982516
         51.98980000,           .00050931,         72.12687512
         52.98960000,           .00049028,         73.51392507
         53.98940000,           .00047229,         74.90097503
         54.98920000,           .00045527,         76.28802498
         55.98900000,           .00043915,         77.67507494
         56.98880000,           .00042388,         79.06212489
         57.98860000,           .00040939,         80.44917485
         58.98840000,           .00039563,         81.83622480
         59.98820000,           .00038255,         83.22327476
         60.98800000,           .00037011,         84.61032471
         61.98780000,           .00035827,         85.99737467
         62.98760000,           .00034699,         87.38442462
         63.98740000,           .00033623,         88.77147458
         64.98720000,           .00032596,         90.15852453
         65.98700000,           .00031616,         91.54557449
         66.98680000,           .00030679,         92.93262444
         67.98660000,           .00029784,         94.31967439
         68.98640000,           .00028926,         95.70672435
         69.98620000,           .00028106,         97.09377430
         70.98600000,           .00027320,         98.48082426
         71.98580000,           .00026566,         99.86787421
         72.98560000,           .00025843,        101.25492417
         73.98540000,           .00025150,        102.64197412
         74.98520000,           .00024483,        104.02902408
         75.98500000,           .00023843,        105.41607403
         76.98480000,           .00023228,        106.80312399
         77.98460000,           .00022636,        108.19017394
         78.98440000,           .00022067,        109.57722390
         79.98420000,           .00021519,        110.96427385
         80.98400000,           .00020991,        112.35132381
         81.98380000,           .00020482,        113.73837376
         82.98360000,           .00019991,        115.12542372
         83.98340000,           .00019518,        116.51247367
         84.98320000,           .00019061,        117.89952363
         85.98300000,           .00018621,        119.28657358
         86.98280000,           .00018195,        120.67362354
         87.98260000,           .00017784,        122.06067349
         88.98240000,           .00017387,        123.44772345
         89.98220000,           .00017002,        124.83477340
         90.98200000,           .00016631,        126.22182336
         91.98180000,           .00016271,        127.60887331
         92.98160000,           .00015923,        128.99592327
         93.98140000,           .00015586,        130.38297322
         94.98120000,           .00015260,        131.77002318
         95.98100000,           .00014943,        133.15707313
         96.98080000,           .00014637,        134.54412309
         97.98060000,           .00014340,        135.93117304
         98.98040000,           .00014052,        137.31822299
         99.98020000,           .00013772,        138.70527295
        100.98000000,           .00013501,        140.09232290
        101.97980000,           .00013237,        141.47937286
        102.97960000,           .00012981,        142.86642281
        103.97940000,           .00012733,        144.25347277
        104.97920000,           .00012492,        145.64052272
        105.97900000,           .00012257,        147.02757268
        106.97880000,           .00012029,        148.41462263
        107.97860000,           .00011807,        149.80167259
        108.97840000,           .00011592,        151.18872254
        109.97820000,           .00011382,        152.57577250
        110.97800000,           .00011178,        153.96282245
        111.97780000,           .00010979,        155.34987241
        112.97760000,           .00010785,        156.73692236
        113.97740000,           .00010597,        158.12397232
        114.97720000,           .00010414,        159.51102227
        115.97700000,           .00010235,        160.89807223
        116.97680000,           .00010061,        162.28512218
        117.97660000,           .00009891,        163.67217214
        118.97640000,           .00009725,        165.05922209
        119.97620000,           .00009564,        166.44627205
        120.97600000,           .00009406,        167.83332200
        121.97580000,           .00009253,        169.22037196
        122.97560000,           .00009103,        170.60742191
        123.97540000,           .00008957,        171.99447187
        124.97520000,           .00008814,        173.38152182
        125.97500000,           .00008675,        174.76857178
        126.97480000,           .00008539,        176.15562173
        127.97460000,           .00008406,        177.54267169
        128.97440000,           .00008276,        178.92972164
        129.97420000,           .00008149,        180.31677159
        130.97400000,           .00008025,        181.70382155
        131.97380000,           .00007904,        183.09087150
        132.97360000,           .00007786,        184.47792146
        133.97340000,           .00007670,        185.86497141
        134.97320000,           .00007557,        187.25202137
        135.97300000,           .00007446,        188.63907132
        136.97280000,           .00007338,        190.02612128
        137.97260000,           .00007232,        191.41317123
        138.97240000,           .00007128,        192.80022119
        139.97220000,           .00007026,        194.18727114
        140.97200000,           .00006927,        195.57432110
        141.97180000,           .00006830,        196.96137105
        142.97160000,           .00006735,        198.34842101
        143.97140000,           .00006642,        199.73547096
        144.97120000,           .00006550,        201.12252092
        145.97100000,           .00006461,        202.50957087
        146.97080000,           .00006373,        203.89662083
        147.97060000,           .00006287,        205.28367078
        148.97040000,           .00006203,        206.67072074
        149.97020000,           .00006121,        208.05777069
        150.97000000,           .00006040,        209.44482065
        151.96980000,           .00005961,        210.83187060
        152.96960000,           .00005883,        212.21892056
        153.96940000,           .00005807,        213.60597051
        154.96920000,           .00005732,        214.99302047
        155.96900000,           .00005659,        216.38007042
        156.96880000,           .00005587,        217.76712038
        157.96860000,           .00005517,        219.15417033
        158.96840000,           .00005448,        220.54122029
        159.96820000,           .00005380,        221.92827024
        160.96800000,           .00005313,        223.31532019
        161.96780000,           .00005248,        224.70237015
        162.96760000,           .00005183,        226.08942010
        163.96740000,           .00005120,        227.47647006
        164.96720000,           .00005059,        228.86352001
        165.96700000,           .00004998,        230.25056997
        166.96680000,           .00004938,        231.63761992
        167.96660000,           .00004880,        233.02466988
        168.96640000,           .00004822,        234.41171983
        169.96620000,           .00004765,        235.79876979
        170.96600000,           .00004710,        237.18581974
        171.96580000,           .00004655,        238.57286970
        172.96560000,           .00004602,        239.95991965
        173.96540000,           .00004549,        241.34696961
        174.96520000,           .00004497,        242.73401956
        175.96500000,           .00004446,        244.12106952
        176.96480000,           .00004396,        245.50811947
        177.96460000,           .00004347,        246.89516943
        178.96440000,           .00004298,        248.28221938
        179.96420000,           .00004251,        249.66926934
        180.96400000,           .00004204,        251.05631929
        181.96380000,           .00004158,        252.44336925
