 Hz,A/m,Oe
           .00000000,      20053.52227154,        252.00000000
          1.00000000,      20032.11406837,        251.73097658
          2.00000000,      19968.29850975,        250.92904659
          3.00000000,      19863.28125065,        249.60936076
          4.00000000,      19719.00224081,        247.79629720
          5.00000000,      19538.03879516,        245.52224341
          6.00000000,      19323.48324878,        242.82605882
          7.00000000,      19078.80601947,        239.75135399
          8.00000000,      18807.71502601,        236.34472400
          9.00000000,      18514.02123193,        232.65405884
         10.00000000,      18201.51799149,        228.72702719
         11.00000000,      17873.87933587,        224.60979830
         12.00000000,      17534.57979004,        220.34603434
         13.00000000,      17186.83608357,        215.97615792
         14.00000000,      16833.56940287,        211.53687777
         15.00000000,      16477.38568973,        207.06094109
         16.00000000,      16120.57088262,        202.57707386
         17.00000000,      15765.09782732,        198.11006758
         18.00000000,      15412.64173040,        193.68097352
         19.00000000,      15064.60137661,        189.30736932
         20.00000000,      14722.12377881,        185.00366878
         21.00000000,      14386.13040360,        180.78145139
         22.00000000,      14057.34356626,        176.64979402
         23.00000000,      13736.31198702,        172.61559211
         24.00000000,      13423.43483326,        168.68386173
         25.00000000,      13118.98383821,        164.85801758
         26.00000000,      12823.12328911,        161.14012417
         27.00000000,      12535.92782673,        157.53111945
         28.00000000,      12257.39810154,        154.03101160
         29.00000000,      11987.47439989,        150.63905023
         30.00000000,      11726.04839444,        147.35387407
         31.00000000,      11472.97319391,        144.17363722
         32.00000000,      11228.07187398,        141.09611638
         33.00000000,      10991.14466796,        138.11880122
         34.00000000,      10761.97498683,        135.23896999
         35.00000000,      10540.33442554,        132.45375248
         36.00000000,      10325.98689742,        129.76018192
         37.00000000,      10118.69202390,        127.15523764
         38.00000000,       9918.20789137,        124.63587966
         39.00000000,       9724.29327310,        122.19907663
         40.00000000,       9536.70940116,        119.84182811
         41.00000000,       9355.22136145,        117.56118208
         42.00000000,       9179.59917436,        115.35424853
         43.00000000,       9009.61861456,        113.21820976
         44.00000000,       8845.06181509,        111.15032797
         45.00000000,       8685.71769411,        109.14795063
         46.00000000,       8531.38223661,        107.20851402
         47.00000000,       8381.85865808,        105.32954527
         48.00000000,       8236.95747292,        103.50866322
         49.00000000,       8096.49648649,        101.74357836
         50.00000000,       7960.30072666,        100.03209192
         51.00000000,       7828.20232784,         98.37209443
         52.00000000,       7700.04037841,         96.76156383
         53.00000000,       7575.66074048,         95.19856316
         54.00000000,       7454.91584935,         93.68123807
         55.00000000,       7337.66449857,         92.20781410
         56.00000000,       7223.77161564,         90.77659388
         57.00000000,       7113.10803228,         89.38595424
         58.00000000,       7005.55025232,         88.03434328
         59.00000000,       6900.98022004,         86.72027746
         60.00000000,       6799.28509066,         85.44233874
         61.00000000,       6700.35700478,         84.19917171
         62.00000000,       6604.09286791,         82.98948086
         63.00000000,       6510.39413595,         81.81202783
         64.00000000,       6419.16660732,         80.66562887
         65.00000000,       6330.32022232,         79.54915223
         66.00000000,       6243.76886972,         78.46151583
         67.00000000,       6159.43020114,         77.40168483
         68.00000000,       6077.22545291,         76.36866947
         69.00000000,       5997.07927572,         75.36152288
         70.00000000,       5918.91957168,         74.37933904
         71.00000000,       5842.67733889,         73.42125086
         72.00000000,       5768.28652316,         72.48642828
         73.00000000,       5695.68387683,         71.57407649
         74.00000000,       5624.80882432,         70.68343429
         75.00000000,       5555.60333426,         69.81377243
